FROM-ID,TO-ID,DISTANCE
4f3381cae4b0befff0254890,4d90bb7ffa9437048ca338c6,0.050110864
4f3381cae4b0befff0254890,50e4021b582f294b85631919,0.083780686
4f3381cae4b0befff0254890,4e341a00e4cdf7a42cad9421,0.046179386
4f3381cae4b0befff0254890,50433012e4b05698baa75339,0.0570122
4f3381cae4b0befff0254890,4f8f03f5e4b09b4d92853b2c,0.029747491
4dd6ae1afa76ad96d111ee3f,4bb60acd46d4a5932198c5c0,0.103810312
4dd6ae1afa76ad96d111ee3f,4c72bb9a4bc4236ae30ccc7a,0.072772525
4dd6ae1afa76ad96d111ee3f,4bacf76cf964a5201c1f3be3,0.211675705
4dd6ae1afa76ad96d111ee3f,50295233e4b0db2acbb75c69,0.121545501
4dd6ae1afa76ad96d111ee3f,523b3ba2498e256cb4ca2b15,0.079895453
4bb60acd46d4a5932198c5c0,5229eb2411d2b271a1f9125c,0.011649949
4bb60acd46d4a5932198c5c0,4dd6ae1afa76ad96d111ee3f,0.103810312
4bb60acd46d4a5932198c5c0,4c72bb9a4bc4236ae30ccc7a,0.141852321
4bb60acd46d4a5932198c5c0,4bacf76cf964a5201c1f3be3,0.184510487
4bb60acd46d4a5932198c5c0,51a25374498e8382043bd79f,0.104500686
4d90bb7ffa9437048ca338c6,4da5ec8a4b2280544b678da0,0.050110864
4d90bb7ffa9437048ca338c6,50433012e4b05698baa75339,0.012042822
4d90bb7ffa9437048ca338c6,50e4021b582f294b85631919,0.036495923
4d90bb7ffa9437048ca338c6,50e1f196e4b0748c84074466,0.037559535
50e4021b582f294b85631919,4da5ec8a4b2280544b678da0,0.083780686
4e341a00e4cdf7a42cad9421,4da5ec8a4b2280544b678da0,0.046179386
50433012e4b05698baa75339,4da5ec8a4b2280544b678da0,0.0570122
4c72bb9a4bc4236ae30ccc7a,4dd6ae1afa76ad96d111ee3f,0.072772525
4c72bb9a4bc4236ae30ccc7a,4bb60acd46d4a5932198c5c0,0.141852321
