ID,NAME,CATEGORY,CHECK-IN,LAT,LONG
53944553498ecef1831affe3,Tamimi Markets | ø£ø_™šø_™‰ ø_™‹øÈ™ƒ™_™ƒ™_,Tea Room,9745,24.69048474,46.68236377
53495b96498e2db72f1394ed,Al Hilal Store | ™ƒøÈøåø± ø_™‹™ˆ™‹ø_™‹,Shop,1443,24.70254214,46.67871811
4f1a96f2e4b08fa663deae89,Paul | ™_™š™‹,Restaurant,22056,24.69743315,46.68658986
4b65bb89f964a52059fc2ae3,Second Cup,Coffee Shop,4299,24.69958551,46.69253826
4b65bb89f964a52059fc2ae3,Outback Restaurant | ø£™šøÈøÂø_™€ ø_øÈ™_™€ ™ˆø_™šø_,Coffee Shop,10889,24.699396,46.691686
4b65bb89f964a52059fc2ae3,Diamond | ø¿ø_™_™ƒ™š™Êø¿,Coffee Shop,11499,24.69955758,46.69224093
4faa3bfbe4b0dc75ba1f75f0,Fatburger | ™ø_øÈøÂø±øåø±,Resraurant,680,24.71247277,46.67450211
4faa3bfbe4b0dc75ba1f75f0,Starbucks | ø_øÈø_ø±øÂ™€ø_,Resraurant,2812,24.71280611,46.6752189
4faa3bfbe4b0dc75ba1f75f0,Spazio ø_øÂø_ø_™_™š,Resraurant,4526,24.71314511,46.67466716
4dc56d65e4cd169dc64be1b0,Panino's | øÂ™Ê™_™Ê™šø_,Resraurant,249,24.71247633,46.67460114
4ff80f35e4b058e1656d0444,Subway | øµøÂ ™šø_™_,Resraurant,268,24.71242394,46.67453984
4e5bcac318388cd5cbc1a9c5,The Grill Restaurant & Terrace at Four Seasons Hotel Riyadh at Kingdom Centre,Restaurant,5760,24.71182915,46.67315816
5356a705498e70d06fc1a884,Scaramouche | ø_™€ø_ø±ø_™ƒ™šøÇ,Restaurant,2150,24.68903411,46.6844579
4bc2c6b374a9a593fbbcd3f6,Food Court | ø±ø¿™ˆø© ø_™‹™ƒø‡ø_ø_™ƒ,Coffee Shop,4532,24.6901228,46.6868257
4d64bf0bb470a14331741dfe,Subway | øµøÂ ™šø_™_,Resraurant,262,24.69011441,46.68675023
54b01117498e18b8bcee3f74,Mee SO HUNGRY,Restaurant,689,24.68965187,46.6734411
54b01117498e18b8bcee3f74,COOKIES N'CREAM | ™€™š™€™_ø_ ™Ê'™€ø±™_™ƒ,Restaurant,842,24.68921231,46.67362501
508ed42fe4b0c36e94d12fde,McDonald's ™ƒø_™€ø¿™š™Êø_™‹ø¿ø_,Pet Store,4571,24.67677613,46.67784093
4be80229ee96c9280e86fdbf,L'EntrecíÇte Cafe de Paris,Restaurant,6132,24.69025499,46.68490127
4b82e734f964a52022ec30e3,The Globe ø_™‹øÂ™‹™šø±ø©,Restaurant,3052,24.69022604,46.68507578
4b82e734f964a52022ec30e3,Harvey Nichols | ™ˆø_ø±˜_™_ ™Ê™_™€™‹ø_,Restaurant,7449,24.68913547,46.68448149
521659d211d2f12183364adf,Anoosh | ø£™Ê™šøÇ,Dessert Shop,710,24.75343769,46.60971774
522b709511d203fd862ad7aa,Baskin Robbins | øÂø_ø_™€™Ê ø±™šøÂ™Êø_,Ice Cream Shop,657,24.75349624,46.61016986
5380ed0c498eaf0c7902f1d3,Karam Cafe | ™€ø±™ƒ ™€ø_™™_™ˆ,Restaurant,1359,24.75346511,46.6095529
5380ed0c498eaf0c7902f1d3,Wayne's Coffee | ™šø_™_™Êø_ ™€™š™™_,Restaurant,5769,24.75347319,46.6096989
523da4e6498e38c1d0200689,Shakeaway | øÇ™_™€ ø_™šø_™_,Restaurant,774,24.7533488,46.61024521
520d511711d2b31f9d7727b0,SEGAFREDO ZANETTI ESPRESSO CAFíŠ,Coffee Shop,798,24.75342362,46.61039592
5257253411d294223f9f3688,Century Burger | ø_™ÊøÇø±™_ øÂø±øåø±,Resraurant,10963,24.69841583,46.68914258
4b6afa55f964a5202fea2be3,Lobby Lounge,Lounge,856,24.71126851,46.67445967
4b6afa55f964a5202fea2be3,Elements,Lounge,3836,24.71101655,46.67442666
4e91596e49013919db2fba98,Joon Veterinary Clinic & Pet Shop,Pet Store,1338,24.67547999,46.67426633
4e91596e49013919db2fba98,Zoo l ø_™š™š,Pet Store,804,24.68083972,46.67719484
4e91596e49013919db2fba98,Yummy Wok | ™_™ƒ™_ ™š™š™€,Pet Store,10667,24.67608847,46.67538867
4e91596e49013919db2fba98,Baskin Robbins,Pet Store,1148,24.67621438,46.67601115
4cb86ba69552b60cd855cc8b,Costa Coffee | ™€™šø_øÈø_ ™€™š™™_,Coffee Shop,1931,24.69073393,46.6844579
4cb86ba69552b60cd855cc8b,Starbucks | ø_øÈø_ø±øÂ™€ø_,Coffee Shop,7475,24.69120258,46.68621898
53b710ef498e3c01b54e7248,Cocozy Homes,Furniture / Home Store,79,24.69421082,46.68346271
52effe1e498e631c290b8416,Menchie's Hitteen | ™ƒ™ÊøÇ™_ø_ ø_ø‡™_™Ê,Frozen Yogurt,569,24.75338381,46.61021695
52effe1e498e631c290b8416,Yummy Wok | ™_™ƒ™_ ™š™š™€,Frozen Yogurt,4437,24.75355964,46.60970832
512643bce4b0f48095f51257,Fire Grill | ™ø_™_ø± øåø±™_™‹,Gym,4842,24.75332473,46.61040534
512643bce4b0f48095f51257,Danube | ø_™‹ø¿ø_™Ê™šøÂ,Gym,5404,24.75346224,46.60987315
4d8b488cbc848cfacb8bec2b,Mondial Courts ™ƒ™‹ø_ø_øÂ ø_™‹™ƒ™š™Êø¿™_ø_™‹,Soccer Field,4660,24.74665238,46.52372491
4d8b488cbc848cfacb8bec2b,™ƒø_™€ø¿™š™Êø_™‹ø¿ø_ McDonald's,Soccer Field,3239,24.7536781,46.60951994
4f7d67cbe4b07b0956ff365c,Dim light | ø_™‹ø_™šøç ø_™‹ø¬ø_™øÈ,Coffee Shop,2247,24.73969465,46.58290872
4ce06c1b7e2e236afc128b1b,Wadi Hanifa ™šø_ø¿™_ ø_™Ê™_™ø©,Other Great Outdoors,4132,24.63418369,46.65507317
4e060d497d8b2a018051a4fc,Nike Store,Shop,1612,24.7052736,46.67810502
5043b34ee4b02607d16e1bd0,øÂ™_øÈ ø_™‹ø±™_ø_ø_ø© ø_™‹™ø_™‹ø_ | El-FALEH,Shop,519,24.70523348,46.67929819
5043b34ee4b02607d16e1bd0,Adidas | ø£ø¿™_ø¿ø_ø_,Shop,946,24.7025179,46.68095829
50b10a19e4b004e6d2ec4344,Al-Mayas Beirut | ø_™‹™ƒ™_ø_ø_ øÂ™_ø±™šøÈ,Restaurant,16954,24.68699332,46.68148181
52c44ed2498e2ff9cc1d2355,Maestro Pizza | ™ƒø_™_ø_øÈø±™š øÂ™_øÈø_ø_,Pizza Place,1254,24.79611408,46.62907779
4b781727f964a52058b52ee3,Johnny Rockets | øå™š™Ê™_ ø±™š™€™_øÈø_,Resraurant,15489,24.69798213,46.6867125
4c8fbb1e0b9e3704ddce615e,Fitness Time | ™š™‰øÈ ø_™‹™‹™_ø_™‰ø©,Resraurant,7514,24.77029092,46.62038132
554be02c498e01d1a1f779b6,Coffee Sultan | ø_™‹ø‡ø_™Ê ø_™‹™‰™ˆ™šø©,Coffee Shop,143,24.7370505,46.57476153
554be02c498e01d1a1f779b6,ø_™‹™‰ø±™_ø© ø_™‹™Êøåø¿™_ø© - ø_™š™‰ ø_™‹øÂøå™_ø±™_ ø_™‹ø¿ø±ø_™_ø©,Coffee Shop,193,24.736393,46.57502508
