1,7,20404,18736,1
1,10,20404,18737,2
1,13,20404,18736,1
1,20,20404,11056,8
1,22,20404,18755,1
1,23,20404,16864,4
1,25,20404,18854,1
1,38,20404,18943,14
1,41,20404,18854,4
1,42,20404,18961,12
1,50,20404,11111,3
1,57,20404,18944,20
1,60,20404,18942,5
1,61,20404,11333,2
1,71,20404,18434,2
1,73,20404,18940,4
1,79,20404,18110,1
1,87,20404,18468,1
1,91,20404,18921,1
1,104,20404,20730,3
1,105,20404,17765,4
1,127,20404,18915,1
1,146,20404,17594,1
1,175,20404,18930,1
1,202,20404,11298,1
1,206,20404,18868,3
1,211,20404,18866,1
1,229,20404,18277,1
1,251,20404,20247,2
1,270,20404,11372,2
1,275,20404,20389,1
1,282,20404,20361,1
1,302,20404,19659,1
1,315,20404,20377,1
1,326,20404,11449,1
1,330,20404,11502,1
1,332,20404,11513,1
1,354,20404,11581,1
1,383,20404,11702,1
1,447,20404,16683,1
1,482,20404,11941,1
1,779,20404,12731,1
1,1006,20404,13153,1
1,1067,20404,13290,1
1,1147,20404,15762,1
1,1294,20404,19032,1
3,24,16208,16193,10
3,30,16208,18697,4
3,42,16208,18961,1
3,50,16208,11111,1
3,57,16208,18944,1
3,77,16208,18104,1
3,89,16208,16156,1
3,144,16208,15792,1
3,167,16208,18898,2
3,175,16208,18930,1
3,230,16208,18892,1
3,245,16208,18892,1
4,28,18805,18836,1
4,33,18805,18859,1
4,34,18805,16399,2
4,36,18805,18855,2
4,40,18805,18740,2
4,43,18805,11091,1
4,52,18805,18865,1
4,53,18805,15690,1
4,55,18805,20725,1
4,69,18805,11137,1
4,131,18805,11173,1
4,147,18805,11332,1
4,175,18805,18930,2
4,202,18805,11298,1
4,211,18805,18866,1
4,249,18805,20360,1
4,1100,18805,13335,1
5,6,11072,18825,1
5,7,11072,18736,1
5,9,11072,18763,2
5,10,11072,18737,1
5,22,11072,18755,1
5,27,11072,16840,1
5,28,11072,18836,1
5,29,11072,16838,1
5,33,11072,18859,1
5,37,11072,18728,2
5,39,11072,18746,2
5,40,11072,18740,1
5,53,11072,15690,1
5,55,11072,20725,1
5,63,11072,11099,2
5,69,11072,11137,1
5,70,11072,18860,4
5,78,11072,15781,2
5,84,11072,19612,2
5,85,11072,20701,1
5,86,11072,20701,1
5,87,11072,18468,1
5,96,11072,15676,1
5,97,11072,19605,1
5,98,11072,15676,1
5,103,11072,19605,1
5,111,11072,11156,1
5,119,11072,15673,1
5,132,11072,11188,1
5,135,11072,19636,1
5,137,11072,16852,1
5,144,11072,15792,1
5,168,11072,11218,2
5,169,11072,11250,1
5,202,11072,11298,2
5,229,11072,18277,1
5,232,11072,20456,1
5,256,11072,17824,1
5,270,11072,11372,1
5,280,11072,11397,1
5,290,11072,11423,1
5,303,11072,20364,1
5,315,11072,20377,1
5,351,11072,17684,1
5,352,11072,11564,1
5,390,11072,11730,1
5,395,11072,19022,1
5,446,11072,20077,1
5,463,11072,12500,1
6,5,18825,11072,1
6,7,18825,18736,2
6,12,18825,11082,8
6,13,18825,18736,3
6,17,18825,18725,2
6,18,18825,16841,3
6,21,18825,18729,1
6,25,18825,18854,1
6,27,18825,16840,2
6,31,18825,18721,1
6,39,18825,18746,6
