ID,X,Y,DATA1,DATA2,DATA3,ISZONE
19719,671855.5625000000,2724554.2500000000,0.0000000000,0.0000000000,0.0000000000,0
11542,674762.5000000000,2723619.5000000000,0.0000000000,0.0000000000,0.0000000000,0
11543,671807.6250000000,2723704.7500000000,0.0000000000,0.0000000000,0.0000000000,0
11540,679105.5000000000,2723670.7500000000,0.0000000000,0.0000000000,0.0000000000,0
11541,674727.0000000000,2723705.5000000000,0.0000000000,0.0000000000,0.0000000000,0
11546,685828.5625000000,2723749.0000000000,0.0000000000,0.0000000000,0.0000000000,0
11547,684563.6875000000,2726127.0000000000,0.0000000000,0.0000000000,0.0000000000,0
11544,674136.3125000000,2723721.7500000000,0.0000000000,0.0000000000,0.0000000000,0
11545,673942.0625000000,2723999.5000000000,0.0000000000,0.0000000000,0.0000000000,0
11548,674692.1250000000,2723787.2500000000,0.0000000000,0.0000000000,0.0000000000,0
11549,674450.8125000000,2723795.0000000000,0.0000000000,0.0000000000,0.0000000000,0
19927,674565.1250000000,2728786.5000000000,0.0000000000,0.0000000000,0.0000000000,0
16427,665920.1875000000,2755730.5000000000,0.0000000000,0.0000000000,0.0000000000,0
19399,670735.0000000000,2736380.7500000000,0.0000000000,0.0000000000,0.0000000000,0
19398,671524.6250000000,2736757.0000000000,0.0000000000,0.0000000000,0.0000000000,0
19397,671322.0000000000,2736007.0000000000,0.0000000000,0.0000000000,0.0000000000,0
19396,670866.6250000000,2736974.2500000000,0.0000000000,0.0000000000,0.0000000000,0
19395,672624.2500000000,2738149.2500000000,0.0000000000,0.0000000000,0.0000000000,0
19394,672432.7500000000,2738555.0000000000,0.0000000000,0.0000000000,0.0000000000,0
19393,673650.1250000000,2738928.5000000000,0.0000000000,0.0000000000,0.0000000000,0
19392,673243.3125000000,2738695.2500000000,0.0000000000,0.0000000000,0.0000000000,0
19391,673077.8750000000,2738618.2500000000,0.0000000000,0.0000000000,0.0000000000,0
19390,673420.2500000000,2738818.0000000000,0.0000000000,0.0000000000,0.0000000000,0
19713,672183.3750000000,2724432.5000000000,0.0000000000,0.0000000000,0.0000000000,0
19712,671885.5000000000,2724040.7500000000,0.0000000000,0.0000000000,0.0000000000,0
19711,672421.3125000000,2723684.7500000000,0.0000000000,0.0000000000,0.0000000000,0
18516,656218.1250000000,2763546.2500000000,0.0000000000,0.0000000000,0.0000000000,0
19710,672421.1250000000,2724038.2500000000,0.0000000000,0.0000000000,0.0000000000,0
19717,671891.0000000000,2724347.7500000000,0.0000000000,0.0000000000,0.0000000000,0
19716,671497.0625000000,2724619.5000000000,0.0000000000,0.0000000000,0.0000000000,0
19715,672233.8750000000,2723902.0000000000,0.0000000000,0.0000000000,0.0000000000,0
19714,672031.6250000000,2724820.7500000000,0.0000000000,0.0000000000,0.0000000000,0
20202,673519.3750000000,2724115.0000000000,0.0000000000,0.0000000000,0.0000000000,0
270,679573.3125000000,2729830.0000000000,0.0000000000,0.0000000000,0.0000000000,1
271,680189.0000000000,2728097.0000000000,0.0000000000,0.0000000000,0.0000000000,1
272,673081.7500000000,2727062.5000000000,0.0000000000,0.0000000000,0.0000000000,1
273,673572.6875000000,2727358.2500000000,0.0000000000,0.0000000000,0.0000000000,1
274,672705.6250000000,2726229.2500000000,0.0000000000,0.0000000000,0.0000000000,1
275,673691.0000000000,2726399.0000000000,0.0000000000,0.0000000000,0.0000000000,1
276,673288.0000000000,2726350.5000000000,0.0000000000,0.0000000000,0.0000000000,1
277,672932.0000000000,2725567.0000000000,0.0000000000,0.0000000000,0.0000000000,1
278,673788.0000000000,2725660.0000000000,0.0000000000,0.0000000000,0.0000000000,1
279,673434.0000000000,2725625.0000000000,0.0000000000,0.0000000000,0.0000000000,1
16259,701293.5000000000,2758618.7500000000,0.0000000000,0.0000000000,0.0000000000,0
16258,683970.5000000000,2759990.5000000000,0.0000000000,0.0000000000,0.0000000000,0
16701,673233.3750000000,2725630.7500000000,0.0000000000,0.0000000000,0.0000000000,0
16700,673025.8750000000,2725603.0000000000,0.0000000000,0.0000000000,0.0000000000,0
16703,672844.8750000000,2725919.2500000000,0.0000000000,0.0000000000,0.0000000000,0
16702,673325.1875000000,2725235.2500000000,0.0000000000,0.0000000000,0.0000000000,0
12019,671487.0335140000,2727272.1807619900,0.0000000000,0.0000000000,0.0000000000,0
12018,675555.6875000000,2727282.2500000000,0.0000000000,0.0000000000,0.0000000000,0
12015,669055.5625000000,2727666.5000000000,0.0000000000,0.0000000000,0.0000000000,0
12014,669070.2500000000,2727265.5000000000,0.0000000000,0.0000000000,0.0000000000,0
12017,675587.2500000000,2727504.7500000000,0.0000000000,0.0000000000,0.0000000000,0
12016,669658.2500000000,2728163.7500000000,0.0000000000,0.0000000000,0.0000000000,0
12011,658904.3750000000,2727513.0000000000,0.0000000000,0.0000000000,0.0000000000,0
12010,658461.8125000000,2727421.0000000000,0.0000000000,0.0000000000,0.0000000000,0
12013,658560.6875000000,2727272.2500000000,0.0000000000,0.0000000000,0.0000000000,0
12012,658697.8125000000,2727435.0000000000,0.0000000000,0.0000000000,0.0000000000,0
17258,668876.6250000000,2715788.7500000000,0.0000000000,0.0000000000,0.0000000000,0
15951,687786.4757350000,2734984.6921669900,0.0000000000,0.0000000000,0.0000000000,0
15950,687989.8750000000,2735128.7500000000,0.0000000000,0.0000000000,0.0000000000,0
17250,672295.2500000000,2719346.5000000000,0.0000000000,0.0000000000,0.0000000000,0
17251,669578.6250000000,2716742.0000000000,0.0000000000,0.0000000000,0.0000000000,0
17252,669523.2500000000,2716697.5000000000,0.0000000000,0.0000000000,0.0000000000,0
17253,669387.8125000000,2716436.2500000000,0.0000000000,0.0000000000,0.0000000000,0
17254,669406.8125000000,2716489.2500000000,0.0000000000,0.0000000000,0.0000000000,0
15953,688230.8750000000,2735310.2500000000,0.0000000000,0.0000000000,0.0000000000,0
17256,670117.5000000000,2717295.2500000000,0.0000000000,0.0000000000,0.0000000000,0
17257,668911.6875000000,2715862.0000000000,0.0000000000,0.0000000000,0.0000000000,0
15952,681242.3125000000,2741537.0000000000,0.0000000000,0.0000000000,0.0000000000,0
15955,688009.5625000000,2735142.5000000000,0.0000000000,0.0000000000,0.0000000000,0
15954,688000.0000000000,2735114.5000000000,0.0000000000,0.0000000000,0.0000000000,0
15957,674645.5625000000,2723896.7500000000,0.0000000000,0.0000000000,0.0000000000,0
15956,688002.3750000000,2735151.2500000000,0.0000000000,0.0000000000,0.0000000000,0
14624,668538.6250000000,2748232.0000000000,0.0000000000,0.0000000000,0.0000000000,0
14625,686858.6250000000,2748315.5000000000,0.0000000000,0.0000000000,0.0000000000,0
14626,686855.3125000000,2747454.2500000000,0.0000000000,0.0000000000,0.0000000000,0
14627,687019.0000000000,2748373.7500000000,0.0000000000,0.0000000000,0.0000000000,0
14620,660512.5625000000,2752386.5000000000,0.0000000000,0.0000000000,0.0000000000,0
14621,687661.8125000000,2749126.2500000000,0.0000000000,0.0000000000,0.0000000000,0
14622,687409.0000000000,2748879.0000000000,0.0000000000,0.0000000000,0.0000000000,0
14623,686981.0000000000,2748248.2500000000,0.0000000000,0.0000000000,0.0000000000,0
16768,670675.3750000000,2725246.0000000000,0.0000000000,0.0000000000,0.0000000000,0
14628,687077.5625000000,2748773.0000000000,0.0000000000,0.0000000000,0.0000000000,0
14629,687096.8125000000,2748462.5000000000,0.0000000000,0.0000000000,0.0000000000,0
99,670431.0000000000,2731931.0000000000,0.0000000000,0.0000000000,0.0000000000,1
98,670071.0000000000,2732686.0000000000,0.0000000000,0.0000000000,0.0000000000,1
91,672355.0000000000,2733685.0000000000,0.0000000000,0.0000000000,0.0000000000,1
90,672108.3125000000,2733908.0000000000,0.0000000000,0.0000000000,0.0000000000,1
93,671050.0000000000,2734599.0000000000,0.0000000000,0.0000000000,0.0000000000,1
92,670568.0000000000,2734476.0000000000,0.0000000000,0.0000000000,0.0000000000,1
95,670760.0000000000,2733982.0000000000,0.0000000000,0.0000000000,0.0000000000,1
94,671535.0000000000,2734417.0000000000,0.0000000000,0.0000000000,0.0000000000,1
97,670873.0000000000,2733636.0000000000,0.0000000000,0.0000000000,0.0000000000,1
96,671249.0000000000,2734094.0000000000,0.0000000000,0.0000000000,0.0000000000,1
18514,653668.8750000000,2763459.0000000000,0.0000000000,0.0000000000,0.0000000000,0
13058,682609.8125000000,2733967.2500000000,0.0000000000,0.0000000000,0.0000000000,0
13059,669214.6875000000,2733982.0000000000,0.0000000000,0.0000000000,0.0000000000,0
13052,668817.0625000000,2733921.0000000000,0.0000000000,0.0000000000,0.0000000000,0
13053,668862.8750000000,2733927.2500000000,0.0000000000,0.0000000000,0.0000000000,0
13050,677520.8750000000,2733915.7500000000,0.0000000000,0.0000000000,0.0000000000,0
13051,683587.3750000000,2733916.5000000000,0.0000000000,0.0000000000,0.0000000000,0
13056,681120.0625000000,2733945.5000000000,0.0000000000,0.0000000000,0.0000000000,0
13057,678586.1875000000,2733965.5000000000,0.0000000000,0.0000000000,0.0000000000,0
13054,677495.0625000000,2733952.0000000000,0.0000000000,0.0000000000,0.0000000000,0
13055,677521.3125000000,2733916.0000000000,0.0000000000,0.0000000000,0.0000000000,0
18703,690018.7500000000,2716691.5000000000,0.0000000000,0.0000000000,0.0000000000,0
18702,690879.3750000000,2717949.7500000000,0.0000000000,0.0000000000,0.0000000000,0
18701,691227.8750000000,2716744.2500000000,0.0000000000,0.0000000000,0.0000000000,0
18700,692167.2500000000,2716105.0000000000,0.0000000000,0.0000000000,0.0000000000,0
18707,696159.7500000000,2711216.2500000000,0.0000000000,0.0000000000,0.0000000000,0
18706,696250.1875000000,2711199.7500000000,0.0000000000,0.0000000000,0.0000000000,0
18705,696133.0625000000,2711308.5000000000,0.0000000000,0.0000000000,0.0000000000,0
18704,692183.3750000000,2719465.5000000000,0.0000000000,0.0000000000,0.0000000000,0
18709,696248.3750000000,2711312.2500000000,0.0000000000,0.0000000000,0.0000000000,0
18708,697734.3750000000,2709730.2500000000,0.0000000000,0.0000000000,0.0000000000,0
15249,675141.5625000000,2749465.2500000000,0.0000000000,0.0000000000,0.0000000000,0
17829,659949.5625000000,2738629.0000000000,0.0000000000,0.0000000000,0.0000000000,0
17828,672483.5625000000,2721377.5000000000,0.0000000000,0.0000000000,0.0000000000,0
17827,680106.3750000000,2722343.5000000000,0.0000000000,0.0000000000,0.0000000000,0
17826,672575.5000000000,2720910.2500000000,0.0000000000,0.0000000000,0.0000000000,0
17825,659780.7500000000,2720515.5000000000,0.0000000000,0.0000000000,0.0000000000,0
17824,671932.5000000000,2721212.5000000000,0.0000000000,0.0000000000,0.0000000000,0
17823,672475.8750000000,2721278.5000000000,0.0000000000,0.0000000000,0.0000000000,0
17822,671755.6250000000,2721122.7500000000,0.0000000000,0.0000000000,0.0000000000,0
17821,669626.5000000000,2720743.2500000000,0.0000000000,0.0000000000,0.0000000000,0
17820,669227.3750000000,2720456.7500000000,0.0000000000,0.0000000000,0.0000000000,0
20258,675267.8750000000,2722370.2500000000,0.0000000000,0.0000000000,0.0000000000,0
20259,675372.2500000000,2722174.7500000000,0.0000000000,0.0000000000,0.0000000000,0
20252,675141.8750000000,2721725.7500000000,0.0000000000,0.0000000000,0.0000000000,0
20253,674976.8125000000,2722856.2500000000,0.0000000000,0.0000000000,0.0000000000,0
20250,674980.1250000000,2721962.7500000000,0.0000000000,0.0000000000,0.0000000000,0
20251,675226.0000000000,2721767.7500000000,0.0000000000,0.0000000000,0.0000000000,0
20256,675656.2500000000,2721660.5000000000,0.0000000000,0.0000000000,0.0000000000,0
20257,675308.1875000000,2722384.7500000000,0.0000000000,0.0000000000,0.0000000000,0
20254,675081.6875000000,2722681.2500000000,0.0000000000,0.0000000000,0.0000000000,0
20255,675132.8750000000,2722707.2500000000,0.0000000000,0.0000000000,0.0000000000,0
16237,682823.0625000000,2759617.0000000000,0.0000000000,0.0000000000,0.0000000000,0
19331,670723.1250000000,2735541.5000000000,0.0000000000,0.0000000000,0.0000000000,0
19851,663853.6875000000,2732613.5000000000,0.0000000000,0.0000000000,0.0000000000,0
19330,670727.5625000000,2735821.5000000000,0.0000000000,0.0000000000,0.0000000000,0
19333,670593.3750000000,2736572.0000000000,0.0000000000,0.0000000000,0.0000000000,0
12833,676061.8750000000,2732443.0000000000,0.0000000000,0.0000000000,0.0000000000,0
12832,675353.1250000000,2732298.7500000000,0.0000000000,0.0000000000,0.0000000000,0
12831,686180.8750000000,2732388.0000000000,0.0000000000,0.0000000000,0.0000000000,0
12830,670409.0000000000,2732378.0000000000,0.0000000000,0.0000000000,0.0000000000,0
12837,669919.6250000000,2732497.0000000000,0.0000000000,0.0000000000,0.0000000000,0
12836,669552.0000000000,2732321.7500000000,0.0000000000,0.0000000000,0.0000000000,0
12835,677389.2500000000,2733167.5000000000,0.0000000000,0.0000000000,0.0000000000,0
12834,672385.2500000000,2732454.2500000000,0.0000000000,0.0000000000,0.0000000000,0
15285,677996.1875000000,2731718.0000000000,0.0000000000,0.0000000000,0.0000000000,0
15284,676989.6875000000,2731321.0000000000,0.0000000000,0.0000000000,0.0000000000,0
12839,677737.2500000000,2732502.2500000000,0.0000000000,0.0000000000,0.0000000000,0
12838,669948.2500000000,2732438.7500000000,0.0000000000,0.0000000000,0.0000000000,0
15281,676892.5000000000,2731276.5000000000,0.0000000000,0.0000000000,0.0000000000,0
15280,676813.2500000000,2731283.7500000000,0.0000000000,0.0000000000,0.0000000000,0
15283,676797.7500000000,2731124.5000000000,0.0000000000,0.0000000000,0.0000000000,0
15282,676968.6250000000,2731327.5000000000,0.0000000000,0.0000000000,0.0000000000,0
10884,690234.5625000000,2742491.2500000000,0.0000000000,0.0000000000,0.0000000000,0
