TAZ,Saudi Male,Saudi Female,Total_Saudi,Non-Saudi Male,Non-Saudi Female,Total_Non_Saudi,Total Pop
723,2982,2639,5621,1860,1349,3209,8830
724,2137,1891,4028,1001,727,1728,5756
725,2510,2222,4732,1977,1434,3411,8143
726,2619,2254,4873,1673,1282,2955,7828
727,2358,2029,4387,1624,1245,2869,7256
728,2350,2022,4372,885,678,1563,5935
729,2379,2047,4426,1446,1108,2554,6980
730,1713,1474,3187,536,411,947,4134
731,4457,3487,7944,1957,699,2656,10600
732,1176,920,2096,434,155,589,2685
733,2664,2084,4748,1650,589,2239,6987
734,707,553,1260,173,62,235,1495
735,1380,1079,2459,409,146,555,3014
736,778,755,1533,1106,582,1688,3221
737,709,688,1397,887,466,1353,2750
738,872,847,1719,953,501,1454,3173
739,1280,1241,2521,1358,714,2072,4593
740,996,967,1963,1047,551,1598,3561
741,623,605,1228,616,324,940,2168
742,106,102,208,46,24,70,278
743,65,63,128,207,109,316,444
744,738,717,1455,1144,601,1745,3200
745,862,836,1698,1402,737,2139,3837
746,60,59,119,176,93,269,388
747,722,700,1422,1120,589,1709,3131
748,815,645,1460,207,251,458,1918
749,1617,1278,2895,1025,1239,2264,5159
750,1101,870,1971,1633,1974,3607,5578
751,0,0,0,0,0,0,0
752,671,531,1202,715,865,1580,2782
753,0,0,0,0,0,0,0
754,1904,1504,3408,1992,2408,4400,7808
755,3335,2502,5837,1408,1716,3124,8961
756,1413,1059,2472,596,726,1322,3794
757,1670,1426,3096,664,903,1567,4663
758,2520,2153,4673,1067,1451,2518,7191
759,4,3,7,3,4,7,14
760,1575,1396,2971,68,72,140,3111
761,935,830,1765,36,39,75,1840
762,1265,1121,2386,165,174,339,2725
763,2889,2562,5451,716,758,1474,6925
764,7485,6638,14123,2989,3164,6153,20276
765,1594,1414,3008,255,270,525,3533
766,4123,3732,7855,218,741,959,8814
767,1847,1672,3519,30,101,131,3650
768,0,0,0,0,0,0,0
769,4477,4053,8530,326,1107,1433,9963
770,3133,2836,5969,174,590,764,6733
771,2638,2387,5025,137,467,604,5629
772,3879,3511,7390,205,699,904,8294
773,3463,3134,6597,166,563,729,7326
774,851,656,1507,82,143,225,1732
775,0,0,0,9,0,9,9
776,0,0,0,553,0,553,553
777,0,0,0,44,0,44,44
778,8,7,15,1,1,2,17
779,1,0,1,3,2,5,6
780,0,0,0,0,0,0,0
781,87,92,179,261,176,437,616
782,2,2,4,7,5,12,16
783,243,217,460,43,55,98,558
784,488,435,923,442,563,1005,1928
785,96,85,181,52,66,118,299
786,525,469,994,175,223,398,1393
787,885,789,1674,299,380,679,2353
788,444,396,840,334,424,758,1598
789,0,0,0,0,0,0,0
790,152,111,263,415,422,837,1100
791,0,0,0,0,0,0,0
792,0,0,0,0,0,0,0
793,710,522,1232,421,430,851,2083
794,661,485,1146,533,544,1077,2223
795,435,319,754,159,163,322,1076
796,273,201,474,100,101,201,675
797,299,219,518,325,332,657,1175
798,390,286,676,366,372,738,1414
799,798,586,1384,966,984,1950,3334
800,367,270,637,339,345,684,1321
801,250,184,434,333,339,672,1106
802,510,375,885,550,561,1111,1996
803,755,555,1310,1037,1057,2094,3404
804,570,419,989,997,1016,2013,3002
805,0,0,0,0,0,0,0
806,516,500,1016,260,376,636,1652
807,1000,968,1968,858,1243,2101,4069
808,1098,1063,2161,874,1266,2140,4301
809,268,259,527,134,193,327,854
810,190,184,374,30,43,73,447
811,2890,2581,5471,1196,2206,3402,8873
812,1347,1202,2549,340,628,968,3517
813,121,117,238,180,160,340,578
814,0,0,0,0,0,0,0
815,237,229,466,441,393,834,1300
816,970,936,1906,926,825,1751,3657
817,153,151,304,246,153,399,703
818,291,280,571,183,163,346,917
819,0,0,0,0,0,0,0
820,222,214,436,82,73,155,591
821,122,117,239,63,56,119,358
822,161,155,316,205,183,388,704
823,102,98,200,104,92,196,396
824,0,0,0,0,0,0,0
825,22,22,44,247,82,329,373
826,963,865,1828,1517,1357,2874,4702
827,810,728,1538,1491,1333,2824,4362
828,1067,959,2026,1489,1332,2821,4847
829,7,6,13,27,24,51,64
830,155,148,303,582,499,1081,1384
831,604,577,1181,1284,1102,2386,3567
832,549,524,1073,1452,1247,2699,3772
833,361,289,650,966,709,1675,2325
834,282,226,508,591,433,1024,1532
835,583,468,1051,1675,1230,2905,3956
836,77,61,138,235,172,407,545
837,703,632,1335,811,725,1536,2871
838,598,537,1135,689,616,1305,2440
839,893,803,1696,324,289,613,2309
840,315,283,598,275,246,521,1119
841,576,518,1094,403,361,764,1858
842,302,271,573,385,344,729,1302
843,175,168,343,653,560,1213,1556
844,224,214,438,856,734,1590,2028
845,601,575,1176,799,686,1485,2661
846,286,274,560,316,272,588,1148
847,368,352,720,978,839,1817,2537
848,499,400,899,1206,885,2091,2990
849,219,175,394,459,337,796,1190
850,386,310,696,865,635,1500,2196
851,375,301,676,691,507,1198,1874
852,168,135,303,535,392,927,1230
853,48,38,86,77,56,133,219
854,7,5,12,5,3,8,20
855,25,20,45,88,65,153,198
856,475,380,855,805,591,1396,2251
857,38,30,68,18,13,31,99
858,604,577,1181,695,597,1292,2473
859,521,498,1019,1025,880,1905,2924
860,492,471,963,648,557,1205,2168
861,432,346,778,661,485,1146,1924
862,332,267,599,355,261,616,1215
863,70,57,127,115,85,200,327
864,139,112,251,267,196,463,714
865,122,97,219,208,153,361,580
866,107,85,192,172,127,299,491
867,235,189,424,465,341,806,1230
868,255,205,460,512,376,888,1348
869,44,40,84,7,7,14,98
870,306,275,581,159,143,302,883
871,612,549,1161,541,483,1024,2185
872,549,493,1042,286,255,541,1583
873,306,275,581,366,328,694,1275
874,78,74,152,291,250,541,693
875,182,174,356,672,576,1248,1604
876,115,109,224,417,357,774,998
877,379,363,742,859,738,1597,2339
878,609,582,1191,820,704,1524,2715
879,470,450,920,643,551,1194,2114
880,800,642,1442,2105,1545,3650,5092
881,384,308,692,807,593,1400,2092
882,286,229,515,550,403,953,1468
883,229,184,413,660,484,1144,1557
884,272,218,490,1007,739,1746,2236
885,15,12,27,39,28,67,94
886,482,387,869,1764,1294,3058,3927
887,0,0,0,0,0,0,0
888,2631,2126,4757,1699,1412,3111,7868
889,2841,2296,5137,1324,1101,2425,7562
890,2704,2176,4880,557,864,1421,6301
891,1111,894,2005,209,323,532,2537
892,3645,2934,6579,611,946,1557,8136
893,4085,3288,7373,737,1142,1879,9252
894,3218,2590,5808,652,1011,1663,7471
895,4353,4258,8611,1063,2004,3067,11678
896,1433,1403,2836,509,959,1468,4304
897,549,525,1074,168,149,317,1391
898,2410,2305,4715,858,757,1615,6330
899,5665,5418,11083,1510,1332,2842,13925
900,1325,1268,2593,1251,1103,2354,4947
901,3340,3194,6534,1604,1416,3020,9554
902,4798,4588,9386,1324,1169,2493,11879
903,2336,2234,4570,1048,925,1973,6543
904,1214,1161,2375,754,665,1419,3794
905,4353,4163,8516,1618,1428,3046,11562
906,5715,5428,11143,2054,1808,3862,15005
907,4178,3968,8146,1351,1190,2541,10687
908,4571,4342,8913,1863,1641,3504,12417
909,5152,4893,10045,1940,1708,3648,13693
910,239,227,466,73,64,137,603
911,1202,1142,2344,1014,892,1906,4250
912,2942,2578,5520,2627,2701,5328,10848
913,2029,2111,4140,1190,1222,2412,6552
914,4617,4805,9422,3111,3192,6303,15725
915,2243,1998,4241,1558,1463,3021,7262
916,2342,2085,4427,879,826,1705,6132
917,547,487,1034,276,260,536,1570
918,952,848,1800,498,467,965,2765
919,1,1,2,3,2,5,7
920,8,8,16,22,21,43,59
921,2033,1935,3968,568,550,1118,5086
922,1668,1587,3255,814,788,1602,4857
923,639,623,1262,744,704,1448,2710
924,302,294,596,164,155,319,915
925,631,614,1245,495,467,962,2207
926,621,605,1226,672,635,1307,2533
927,566,552,1118,676,639,1315,2433
928,0,0,0,0,0,0,0
929,1285,1000,2285,783,810,1593,3878
930,1719,1486,3205,444,596,1040,4245
931,0,0,0,0,0,0,0
932,88,77,165,42,57,99,264
933,684,591,1275,154,207,361,1636
934,614,530,1144,143,193,336,1480
935,782,676,1458,201,270,471,1929
936,1069,925,1994,312,419,731,2725
937,979,846,1825,364,489,853,2678
938,803,694,1497,285,384,669,2166
939,825,713,1538,275,370,645,2183
940,1058,914,1972,397,533,930,2902
941,2656,2297,4953,983,1321,2304,7257
942,2407,2081,4488,1145,1538,2683,7171
943,1620,1401,3021,422,566,988,4009
944,11555,10368,21923,492,2080,2572,24495
945,231,207,438,30,126,156,594
946,348,312,660,28,116,144,804
947,514,461,975,66,278,344,1319
948,707,635,1342,224,948,1172,2514
949,0,0,0,0,0,0,0
950,5010,4206,9216,1586,1108,2694,11910
951,991,833,1824,422,294,716,2540
952,134,113,247,92,65,157,404
953,206,173,379,31,21,52,431
954,420,353,773,255,178,433,1206
955,271,228,499,130,91,221,720
956,1695,1424,3119,595,416,1011,4130
957,1156,970,2126,529,369,898,3024
958,4857,4079,8936,2065,1442,3507,12443
959,1522,1278,2800,588,411,999,3799
960,1184,994,2178,380,265,645,2823
961,1232,1172,2404,729,705,1434,3838
962,1273,1212,2485,455,440,895,3380
963,1475,1403,2878,378,366,744,3622
964,1263,1202,2465,345,334,679,3144
965,1269,1208,2477,291,281,572,3049
966,1460,1390,2850,640,619,1259,4109
967,1382,1315,2697,920,890,1810,4507
968,952,905,1857,568,550,1118,2975
969,597,568,1165,317,306,623,1788
970,0,0,0,0,0,0,0
971,2282,2092,4374,736,477,1213,5587
972,2824,2590,5414,846,549,1395,6809
973,682,520,1202,61,43,104,1306
974,827,631,1458,125,88,213,1671
975,178,136,314,35,25,60,374
976,78,59,137,29,21,50,187
977,12,9,21,6,4,10,31
978,0,0,0,0,0,0,0
979,5384,4111,9495,409,289,698,10193
980,2745,2095,4840,285,201,486,5326
981,6342,4842,11184,1488,1050,2538,13722
982,4451,3399,7850,799,564,1363,9213
983,2534,1935,4469,767,541,1308,5777
984,2433,1857,4290,293,206,499,4789
985,2973,2270,5243,563,398,961,6204
986,226,172,398,95,67,162,560
987,291,223,514,123,86,209,723
988,219,168,387,93,65,158,545
989,1050,801,1851,241,170,411,2262
990,299,228,527,129,91,220,747
991,312,239,551,124,87,211,762
992,2049,1880,3929,774,503,1277,5206
993,590,541,1131,227,148,375,1506
994,1679,1540,3219,541,352,893,4112
995,1065,977,2042,470,305,775,2817
996,2266,2078,4344,882,572,1454,5798
997,1022,937,1959,483,314,797,2756
998,1216,1116,2332,621,403,1024,3356
999,2580,2366,4946,906,589,1495,6441
1000,2133,1957,4090,890,578,1468,5558
1001,576,529,1105,193,125,318,1423
1002,1575,1445,3020,417,271,688,3708
1003,2692,2468,5160,704,457,1161,6321
1004,2552,2341,4893,544,353,897,5790
1005,3490,3201,6691,966,627,1593,8284
1006,1524,1397,2921,359,233,592,3513
1007,3065,2811,5876,1637,1063,2700,8576
1008,0,0,0,0,0,0,0
1009,1906,1609,3515,1441,639,2080,5595
1010,2274,1919,4193,1805,801,2606,6799
1011,2396,2023,4419,1807,802,2609,7028
1012,0,0,0,0,0,0,0
1013,0,0,0,0,0,0,0
1014,0,0,0,0,0,0,0
1015,1460,1232,2692,485,215,700,3392
1016,1273,1074,2347,497,220,717,3064
1017,1186,1002,2188,328,145,473,2661
1018,3500,2955,6455,946,420,1366,7821
1019,11,10,21,12,5,17,38
1020,3291,2778,6069,865,384,1249,7318
1021,1943,1640,3583,929,412,1341,4924
1022,1297,1176,2473,148,403,551,3024
1023,1669,1240,2909,6244,4814,11058,13967
1024,368,308,676,211,141,352,1028
1025,125,104,229,231,154,385,614
1026,20,16,36,25,17,42,78
1027,0,0,0,0,0,0,0
1028,110,99,209,100,63,163,372
1029,243,196,439,76,90,166,605
1030,9,7,16,53,53,106,122
1031,3571,2446,6017,7532,5449,12981,18998
1032,395,283,678,1537,1560,3097,3775
1033,198,140,338,88,84,172,510
1034,0,0,0,0,0,0,0
1035,111,119,230,325,304,629,859
1036,0,0,0,0,0,0,0
1037,0,1,1,2,2,4,5
1038,360,382,742,550,514,1064,1806
1039,692,737,1429,2384,2228,4612,6041
1040,349,371,720,596,556,1152,1872
1041,224,239,463,604,564,1168,1631
1042,58,57,115,40,81,121,236
1043,536,564,1100,2465,1500,3965,5065
1044,0,0,0,0,0,0,0
1045,49,52,101,252,154,406,507
1046,0,0,0,0,0,0,0
1047,16,17,33,34,20,54,87
1048,231,242,473,1147,698,1845,2318
1049,867,912,1779,4447,2707,7154,8933
1050,544,572,1116,2812,1712,4524,5640
1051,688,722,1410,3461,2107,5568,6978
1052,13,14,27,67,41,108,135
1053,0,0,0,0,0,0,0
1054,21,22,43,108,66,174,217
1055,524,551,1075,2694,1640,4334,5409
1056,135,141,276,693,422,1115,1391
1057,935,983,1918,4904,2986,7890,9808
1058,590,621,1211,3089,1881,4970,6181
1059,268,281,549,1346,819,2165,2714
1060,1,0,1,9,6,15,16
1061,3,2,5,84,58,142,147
1062,0,0,0,0,0,0,0
1063,55,41,96,892,622,1514,1610
1064,22,16,38,35,25,60,98
1065,1,1,2,4,2,6,8
1066,6,4,10,80,56,136,146
1067,23,18,41,74,52,126,167
1068,7,5,12,24,15,39,51
1069,29,20,49,32,20,52,101
1070,2,1,3,8,6,14,17
1071,211,145,356,610,397,1007,1363
1072,308,212,520,1108,721,1829,2349
1073,275,189,464,1128,734,1862,2326
1074,4242,4395,8637,912,912,1824,10461
1075,586,607,1193,103,103,206,1399
1076,4013,4158,8171,907,907,1814,9985
1077,4028,4174,8202,969,969,1938,10140
1078,680,705,1385,223,223,446,1831
1079,363,377,740,88,88,176,916
1080,5036,5218,10254,1033,1033,2066,12320
1081,6,6,12,9,9,18,30
1082,919,953,1872,296,296,592,2464
1083,1316,1364,2680,290,290,580,3260
1084,114,119,233,163,163,326,559
1085,642,629,1271,407,114,521,1792
1086,135,123,258,112,104,216,474
1087,669,613,1282,345,319,664,1946
1088,1495,1371,2866,483,445,928,3794
1089,1919,1760,3679,768,709,1477,5156
1090,1961,1798,3759,620,573,1193,4952
1091,0,0,0,0,0,0,0
1092,213,195,408,380,350,730,1138
1093,0,0,0,0,0,0,0
1094,5693,4946,10639,1249,2065,3314,13953
1095,2396,2048,4444,2148,2632,4780,9224
1096,73,73,146,84,52,136,282
1097,16,11,27,11,11,22,49
1098,27,19,46,70,71,141,187
1099,255,230,485,383,352,735,1220
1100,14,13,27,10,7,17,44
1101,1473,1324,2797,1998,1846,3844,6641
1102,224,202,426,380,351,731,1157
1103,2526,2269,4795,3763,3475,7238,12033
1104,921,827,1748,134,124,258,2006
1105,62,55,117,32,30,62,179
1106,685,616,1301,884,817,1701,3002
1107,841,756,1597,1007,930,1937,3534
1108,461,339,800,85,79,164,964
1109,182,138,320,519,480,999,1319
1110,1420,1302,2722,612,565,1177,3899
1111,1236,1211,2447,963,268,1231,3678
1112,1385,1270,2655,654,604,1258,3913
1113,443,407,850,218,201,419,1269
1114,1075,985,2060,272,252,524,2584
1115,680,623,1303,404,372,776,2079
1116,563,517,1080,324,299,623,1703
1117,702,643,1345,323,299,622,1967
1118,82,89,171,1330,692,2022,2193
1119,87,93,180,1426,742,2168,2348
1120,51,55,106,881,459,1340,1446
1121,37,39,76,676,351,1027,1103
1122,126,135,261,1487,774,2261,2522
1123,131,141,272,1095,570,1665,1937
1124,83,90,173,1302,678,1980,2153
1125,153,165,318,1796,934,2730,3048
1126,114,122,236,1097,571,1668,1904
1127,55,59,114,381,198,579,693
1128,64,69,133,435,226,661,794
1129,0,0,0,0,0,0,0
1130,29,31,60,460,240,700,760
1131,48,51,99,404,210,614,713
1132,46,49,95,53,27,80,175
1133,1,1,2,8,4,12,14
1134,12,13,25,81,42,123,148
1135,0,1,1,4,2,6,7
1136,6,6,12,103,54,157,169
1137,134,143,277,876,455,1331,1608
1138,0,0,0,0,0,0,0
1139,58,63,121,606,316,922,1043
1140,95,86,181,836,498,1334,1515
1141,20,21,41,274,143,417,458
1142,146,88,234,837,663,1500,1734
1143,79,48,127,45,35,80,207
1144,48,29,77,197,156,353,430
1145,50,30,80,335,265,600,680
1146,68,41,109,248,196,444,553
1147,249,150,399,978,775,1753,2152
1148,186,111,297,718,568,1286,1583
1149,76,45,121,502,397,899,1020
1150,114,69,183,725,575,1300,1483
1151,306,278,584,779,465,1244,1828
1152,0,0,0,0,0,0,0
1153,282,256,538,1302,776,2078,2616
1154,103,94,197,604,361,965,1162
1155,179,162,341,1191,710,1901,2242
1156,146,100,246,584,380,964,1210
1157,37,25,62,105,69,174,236
1158,1,0,1,2,2,4,5
1159,66,46,112,28,18,46,158
1160,5,3,8,5,4,9,17
1161,23,15,38,93,60,153,191
1162,58,39,97,54,35,89,186
1163,5,3,8,25,17,42,50
1164,1,1,2,5,4,9,11
1165,71,48,119,228,149,377,496
1166,145,99,244,576,374,950,1194
1167,0,0,0,0,0,0,0
1168,145,99,244,617,401,1018,1262
1169,97,66,163,342,222,564,727
1170,87,59,146,229,149,378,524
1171,95,65,160,237,155,392,552
1172,138,95,233,541,352,893,1126
1173,0,0,0,0,0,0,0
1174,72,49,121,370,241,611,732
1175,34,24,58,149,97,246,304
1176,87,59,146,219,142,361,507
1177,26,18,44,134,87,221,265
1178,237,163,400,1129,735,1864,2264
1179,74,51,125,207,135,342,467
1180,0,0,0,0,0,0,0
1181,1,1,2,5,4,9,11
1182,128,88,216,665,432,1097,1313
1183,0,0,0,0,0,0,0
1184,5,3,8,22,15,37,45
1185,0,0,0,0,0,0,0
1186,4,2,6,20,13,33,39
1187,0,0,0,0,0,0,0
1188,1,0,1,2,2,4,5
1189,0,0,0,0,0,0,0
1190,559,508,1067,5343,3186,8529,9596
1191,27,25,52,314,188,502,554
1192,220,199,419,975,581,1556,1975
1193,2,1,3,7,4,11,14
1194,31,28,59,360,215,575,634
1195,101,92,193,481,287,768,961
1196,0,0,0,0,0,0,0
1197,46,42,88,217,129,346,434
1198,89,81,170,767,458,1225,1395
1199,76,69,145,60,35,95,240
1200,198,179,377,1470,876,2346,2723
1201,0,0,0,0,0,0,0
1202,15,14,29,158,94,252,281
1203,198,180,378,1118,667,1785,2163
1204,0,0,0,0,0,0,0
1205,58,52,110,261,156,417,527
1206,19,18,37,144,86,230,267
1207,41,38,79,205,123,328,407
1208,119,108,227,560,334,894,1121
1209,231,209,440,1610,960,2570,3010
1210,175,158,333,870,519,1389,1722
1211,0,0,0,0,0,0,0
1212,699,635,1334,1418,845,2263,3597
1213,1,0,1,4,2,6,7
1214,505,458,963,767,458,1225,2188
1215,551,378,929,2146,1397,3543,4472
1216,333,228,561,1196,778,1974,2535
1217,87,59,146,382,249,631,777
1218,111,76,187,553,359,912,1099
1219,38,26,64,193,126,319,383
1220,5,4,9,146,59,205,214
1221,4,3,7,116,47,163,170
1222,14,10,24,1272,514,1786,1810
1223,0,0,0,4,1,5,5
1224,9,6,15,794,321,1115,1130
1225,6,4,10,529,213,742,752
1226,22,15,37,1948,787,2735,2772
1227,26,17,43,2375,959,3334,3377
1228,0,0,0,0,0,0,0
1229,0,0,0,4,1,5,5
1230,8,5,13,727,294,1021,1034
1231,145,78,223,2688,1879,4567,4790
1232,22,11,33,393,274,667,700
1233,29,16,45,548,383,931,976
1234,34,18,52,628,439,1067,1119
1235,24,13,37,450,315,765,802
1236,0,0,0,0,0,0,0
1237,100,53,153,1848,1292,3140,3293
1238,318,171,489,3939,926,4865,5354
1239,83,97,180,1618,505,2123,2303
1240,493,438,931,2460,1089,3549,4480
1241,346,308,654,1753,776,2529,3183
1242,55,41,96,1208,423,1631,1727
1243,56,42,98,1352,473,1825,1923
1244,22,17,39,552,193,745,784
1245,31,23,54,676,236,912,966
1246,26,20,46,644,226,870,916
1247,31,24,55,750,262,1012,1067
1248,64,48,112,1469,514,1983,2095
1249,110,82,192,2609,913,3522,3714
1250,26,19,45,645,226,871,916
1251,31,23,54,696,243,939,993
1252,112,84,196,2653,928,3581,3777
1253,31,23,54,736,258,994,1048
1254,50,37,87,1221,428,1649,1736
1255,19,14,33,424,149,573,606
1256,13,9,22,318,111,429,451
1257,0,0,0,0,0,0,0
1258,21,15,36,490,171,661,697
1259,0,0,0,0,0,0,0
1260,0,0,0,0,0,0,0
1261,235,218,453,2864,467,3331,3784
1262,781,724,1505,9407,1534,10941,12446
1263,235,218,453,2839,463,3302,3755
1264,272,242,514,1333,591,1924,2438
1265,3,2,5,13,6,19,24
1266,182,162,344,889,394,1283,1627
1267,1261,1185,2446,1423,857,2280,4726
1268,772,725,1497,658,396,1054,2551
1269,0,0,0,0,0,0,0
1270,838,788,1626,785,472,1257,2883
1271,871,819,1690,804,483,1287,2977
1272,4,4,8,4,3,7,15
1273,912,857,1769,804,484,1288,3057
1274,4,5,9,22,13,35,44
1275,0,0,0,0,0,0,0
1276,360,391,751,1551,916,2467,3218
1277,5,6,11,27,16,43,54
1278,1813,1703,3516,1937,1166,3103,6619
1279,353,385,738,1976,1212,3188,3926
1280,549,600,1149,3099,1900,4999,6148
1281,377,413,790,2098,1287,3385,4175
1282,326,357,683,1862,1142,3004,3687
1283,360,354,714,1477,616,2093,2807
1284,380,375,755,1577,658,2235,2990
1285,300,296,596,1102,460,1562,2158
1286,295,290,585,1210,505,1715,2300
1287,498,491,989,2228,929,3157,4146
1288,245,241,486,689,287,976,1462
1289,65,43,108,122,53,175,283
1290,263,175,438,588,255,843,1281
1291,61,40,101,127,55,182,283
1292,422,281,703,844,366,1210,1913
1293,293,195,488,612,265,877,1365
1294,583,575,1158,1896,791,2687,3845
1295,303,298,601,1386,578,1964,2565
1296,861,849,1710,3579,1492,5071,6781
1297,378,372,750,1610,671,2281,3031
1298,2,1,3,6,3,9,12
1299,374,368,742,1670,696,2366,3108
1300,1392,1372,2764,6310,2631,8941,11705
1301,1259,1241,2500,5611,2339,7950,10450
1302,864,817,1681,1151,822,1973,3654
1303,807,764,1571,911,650,1561,3132
1304,656,621,1277,602,429,1031,2308
1305,1267,1199,2466,1990,1421,3411,5877
1306,60,52,112,295,124,419,531
1307,40,35,75,29,19,48,123
1308,1051,1027,2078,380,523,903,2981
1309,6,5,11,7,10,17,28
1310,183,179,362,124,171,295,657
1311,497,485,982,433,597,1030,2012
1312,894,873,1767,534,736,1270,3037
1313,868,848,1716,550,758,1308,3024
1314,1008,985,1993,1070,1476,2546,4539
1315,2510,2136,4646,1189,584,1773,6419
1316,170,144,314,329,162,491,805
1317,462,393,855,564,277,841,1696
1318,209,177,386,406,199,605,991
1319,762,648,1410,436,214,650,2060
1320,937,798,1735,1216,596,1812,3547
1321,57,49,106,111,54,165,271
1322,293,250,543,570,280,850,1393
1323,143,122,265,191,94,285,550
1324,2152,1831,3983,1385,680,2065,6048
1325,2463,2096,4559,1258,618,1876,6435
1326,5030,4281,9311,1436,705,2141,11452
1327,7472,6698,14170,1353,1052,2405,16575
1328,0,0,0,0,0,0,0
1329,6766,6065,12831,838,651,1489,14320
1330,1286,1152,2438,147,114,261,2699
1331,746,635,1381,300,147,447,1828
1332,4,3,7,1,0,1,8
1333,294,250,544,144,71,215,759
1334,807,687,1494,374,184,558,2052
1335,98,113,211,3695,1208,4903,5114
1336,9,11,20,359,118,477,497
1337,34,38,72,1173,383,1556,1628
1338,0,0,0,0,0,0,0
1339,9,4,13,461,182,643,656
1340,31,12,43,1470,581,2051,2094
1341,244,211,455,1635,651,2286,2741
1342,229,143,372,1577,777,2354,2726
1343,101,87,188,684,272,956,1144
1344,86,147,233,1510,1104,2614,2847
1345,135,116,251,878,350,1228,1479
1346,46,42,88,42,27,69,157
1347,44,28,72,303,149,452,524
1348,120,75,195,829,409,1238,1433
1349,118,73,191,809,398,1207,1398
1350,25,16,41,175,86,261,302
1351,762,752,1514,3443,1435,4878,6392
1352,706,697,1403,3134,1307,4441,5844
1353,464,458,922,2083,869,2952,3874
1354,324,319,643,1444,602,2046,2689
1355,374,369,743,1673,697,2370,3113
1356,1981,1873,3854,2858,2040,4898,8752
1357,1514,1432,2946,2275,1623,3898,6844
1358,936,886,1822,1201,857,2058,3880
1359,1971,1863,3834,2523,1801,4324,8158
1360,0,0,0,0,0,0,0
1361,1122,1061,2183,1603,1144,2747,4930
1362,36,32,68,135,57,192,260
1363,111,105,216,182,130,312,528
1364,1519,1301,2820,7423,3107,10530,13350
1365,149,127,276,720,301,1021,1297
1366,0,0,0,8,0,8,8
1367,36,32,68,55,0,55,123
1368,213,186,399,128,0,128,527
1369,3531,3174,6705,437,250,687,7392
1370,2522,2268,4790,258,148,406,5196
1371,4466,4015,8481,537,308,845,9326
1372,4635,4431,9066,329,385,714,9780
1373,1394,1343,2737,116,75,191,2928
1374,324,313,637,263,171,434,1071
1375,390,375,765,109,70,179,944
1376,667,642,1309,87,56,143,1452
1377,804,774,1578,101,66,167,1745
1378,3018,2714,5732,1015,582,1597,7329
1379,139,125,264,105,61,166,430
1380,5054,4544,9598,700,401,1101,10699
1381,2537,2282,4819,289,165,454,5273
1382,5296,4761,10057,803,461,1264,11321
1383,2261,2033,4294,232,133,365,4659
1384,2019,1815,3834,261,150,411,4245
1385,1432,1287,2719,165,94,259,2978
1386,824,741,1565,88,51,139,1704
1387,2452,2361,4813,993,644,1637,6450
1388,1379,1329,2708,662,430,1092,3800
1389,1856,1775,3631,108,126,234,3865
1390,1735,1659,3394,106,123,229,3623
1391,3931,3758,7689,223,262,485,8174
1392,1598,1528,3126,99,115,214,3340
1393,2117,2024,4141,163,190,353,4494
1394,1337,1383,2720,244,669,913,3633
1395,723,747,1470,109,299,408,1878
1396,642,665,1307,64,176,240,1547
1397,0,0,0,0,0,0,0
1398,0,0,0,0,0,0,0
1399,5299,5480,10779,569,1558,2127,12906
1400,644,577,1221,373,235,608,1829
1401,119,106,225,317,199,516,741
1402,0,0,0,0,0,0,0
1403,1692,1649,3341,1835,1735,3570,6911
1404,155,152,307,232,220,452,759
1405,4,3,7,15,14,29,36
1406,1,0,1,3,3,6,7
1407,1795,1829,3624,4798,3493,8291,11915
1408,589,599,1188,1028,748,1776,2964
1409,529,538,1067,935,680,1615,2682
1410,1238,963,2201,725,751,1476,3677
1411,17802,15464,33266,4000,6612,10612,43878
1412,8,7,15,0,2,2,17
1413,0,0,0,0,0,0,0
1414,0,0,0,0,0,0,0
1415,1458,1137,2595,297,148,445,3040
1416,1028,801,1829,123,61,184,2013
1417,69,53,122,3,2,5,127
1418,1075,838,1913,145,73,218,2131
1419,2010,1678,3688,851,1506,2357,6045
1420,363,303,666,201,356,557,1223
1421,1591,1636,3227,311,190,501,3728
1422,495,508,1003,134,82,216,1219
1423,3260,2556,5816,871,822,1693,7509
1424,2533,1986,4519,730,688,1418,5937
1425,1217,954,2171,214,202,416,2587
1426,1350,1059,2409,422,399,821,3230
1427,834,654,1488,156,147,303,1791
1428,1928,1512,3440,223,210,433,3873
1429,2468,1936,4404,331,313,644,5048
1430,4409,3458,7867,1239,1168,2407,10274
1431,4069,3191,7260,954,900,1854,9114
1432,101,80,181,26,25,51,232
1433,966,758,1724,359,338,697,2421
1434,1697,1331,3028,404,382,786,3814
1435,0,0,0,17,0,17,17
1436,17,0,17,548,0,548,565
1437,2,0,2,62,0,62,64
1438,476,371,847,98,49,147,994
1439,353,275,628,53,26,79,707
1440,524,408,932,97,49,146,1078
1441,0,0,0,0,0,0,0
1442,0,0,0,0,0,0,0
1443,0,0,0,0,0,0,0
1444,23,22,45,1,1,2,47
1445,3,2,5,1,2,3,8
1446,118,112,230,19,28,47,277
1447,238,224,462,6,10,16,478
1448,35,36,71,44,27,71,142
1449,1143,1175,2318,349,213,562,2880
1450,677,696,1373,294,180,474,1847
1451,957,747,1704,144,72,216,1920
1452,141,155,296,77,52,129,425
1453,506,554,1060,43,29,72,1132
1454,129,117,246,2,17,19,265
1455,3627,3284,6911,41,368,409,7320
1456,75,94,169,30,9,39,208
