TAZ,Saudi Male,Saudi Female,Total_Saudi,Non-Saudi Male,Non-Saudi Female,Total_Non_Saudi,Total Pop
161,0,0,0,0,0,0,0
162,2079,1907,3986,776,716,1492,5478
163,16145,15807,31952,10778,3003,13781,45733
164,3141,2879,6020,843,778,1621,7641
165,9908,8471,18379,1558,1909,3467,21846
166,5908,5051,10959,1075,1317,2392,13351
167,894,697,1591,152,76,228,1819
168,2586,2212,4798,864,1058,1922,6720
169,4999,4556,9555,1697,2595,4292,13847
170,10643,8442,19085,0,440,440,19525
171,3681,2870,6551,270,135,405,6956
172,1531,1279,2810,434,767,1201,4011
173,671,561,1232,545,963,1508,2740
174,330,330,660,874,544,1418,2078
175,376,376,752,1550,966,2516,3268
176,955,686,1641,2241,2274,4515,6156
177,115,115,230,529,330,859,1089
178,95,95,190,327,203,530,720
179,127,134,261,232,162,394,655
180,244,255,499,627,439,1066,1565
181,593,621,1214,1320,924,2244,3458
182,139,146,285,308,216,524,809
183,81,61,142,581,406,987,1129
184,0,0,0,7,5,12,12
185,22,17,39,445,310,755,794
186,10,7,17,132,92,224,241
187,668,668,1336,1228,1412,2640,3976
188,66,66,132,119,137,256,388
189,770,770,1540,305,351,656,2196
190,168,168,336,194,223,417,753
191,785,706,1491,1104,1020,2124,3615
192,701,701,1402,571,656,1227,2629
193,73,73,146,155,179,334,480
194,729,655,1384,400,370,770,2154
195,322,404,726,663,209,872,1598
196,91,63,154,1652,1258,2910,3064
197,185,129,314,1625,1237,2862,3176
198,92,64,156,1516,1154,2670,2826
199,204,142,346,3116,2373,5489,5835
200,177,205,382,3360,1050,4410,4792
201,232,268,500,4575,1429,6004,6504
202,220,254,474,4292,1340,5632,6106
203,280,324,604,5630,1758,7388,7992
204,405,468,873,7868,2458,10326,11199
205,658,585,1243,3142,1391,4533,5776
206,219,195,414,1118,495,1613,2027
207,518,460,978,2512,1112,3624,4602
208,1308,1163,2471,6428,2846,9274,11745
209,313,278,591,1515,671,2186,2777
210,737,663,1400,337,312,649,2049
211,300,269,569,103,96,199,768
212,1290,1213,2503,1370,824,2194,4697
213,610,572,1182,739,377,1116,2298
214,81,59,140,125,115,240,380
215,31,34,65,140,83,223,288
216,2009,1887,3896,2206,1327,3533,7429
